dataset_id,entity_name,attr_pos,attribute_name,DC_note,DC_term,ECSO note,ECSO_id
edi.5.1,SBCMBON integrated fish,16,site_name,d4,http://purl.org/dc/terms/Location,e1,http://purl.dataone.org/odo/ECSO_00001193
edi.5.1,SBCMBON integrated fish,17,subsite_name,d4,http://purl.org/dc/terms/Location,e1,http://purl.dataone.org/odo/ECSO_00001193
edi.5.1,SBCMBON integrated fish,18,latitude,,http://rs.tdwg.org/dwc/terms/decimalLatitude,e5,http://purl.dataone.org/odo/ECSO_00002338
edi.5.1,SBCMBON integrated fish,19,longitude,,http://rs.tdwg.org/dwc/terms/decimalLongitude,e5,http://purl.dataone.org/odo/ECSO_00002338
edi.5.1,SBCMBON integrated fish,7,date,,http://rs.tdwg.org/dwc/terms/eventDate,e1,http://purl.dataone.org/odo/ECSO_00001193
edi.5.1,SBCMBON integrated fish,4,data_source,,http://rs.tdwg.org/dwc/terms/eventRemarks,e2,http://purl.dataone.org/odo/ECSO_00001193
edi.5.1,SBCMBON integrated fish,1,site_id,d4,http://rs.tdwg.org/dwc/terms/identificationID,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier
edi.5.1,SBCMBON integrated fish,2,subsite_id,d4,http://rs.tdwg.org/dwc/terms/identificationID,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier
edi.5.1,SBCMBON integrated fish,3,proj_taxon_id,d5,http://rs.tdwg.org/dwc/terms/identificationID,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier
edi.5.1,SBCMBON integrated fish,8,transect_id,d4,http://rs.tdwg.org/dwc/terms/identificationID,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier
edi.5.1,SBCMBON integrated fish,9,replicate_id,d4,http://rs.tdwg.org/dwc/terms/identificationID,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier
edi.5.1,SBCMBON integrated fish,14,auth_name,,http://rs.tdwg.org/dwc/terms/nameAccordingToID,e1,http://purl.dataone.org/odo/ECSO_00001193
edi.5.1,SBCMBON integrated fish,12,count,d1,http://rs.tdwg.org/dwc/terms/organismQuantity,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Count
edi.5.1,SBCMBON integrated fish,10,area,"d2, d3",http://rs.tdwg.org/dwc/terms/sampleSizeValue,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Area
edi.5.1,SBCMBON integrated fish,11,height,"d2, d3",http://rs.tdwg.org/dwc/terms/sampleSizeValue,e3,http://purl.dataone.org/odo/ECSO_00001252
edi.5.1,SBCMBON integrated fish,5,sample_method,d4,http://rs.tdwg.org/dwc/terms/samplingProtocol,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Protocol
edi.5.1,SBCMBON integrated fish,6,sample_subtype,d4,http://rs.tdwg.org/dwc/terms/samplingProtocol,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Protocol
edi.5.1,SBCMBON integrated fish,15,taxon_name,,http://rs.tdwg.org/dwc/terms/ScientificName,e4,http://purl.dataone.org/odo/ECSO_00002587
edi.5.1,SBCMBON integrated fish,13,auth_taxon_id,,http://rs.tdwg.org/dwc/terms/taxonID,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier
